basic_trend_following,basic_mean_reversion,basic_breakout,basic_momentum,portfolio_enhanced_momentum,portfolio_enhanced_trend,portfolio_enhanced_breakout,portfolio_enhanced_mean_reversion
100000000.0,100000000.0,100000000.0,100000000.0,1000000.0,1000000.0,1000000.0,1000000.0
100000000.0,100000000.0,100000000.0,100000000.0,1000000.0,1000000.0,1000000.0,1000000.0
100000000.0,100000000.0,100000000.0,100000000.0,1000000.0,1000000.0,1000000.0,1000000.0
100000000.0,100000000.0,100000000.0,100000000.0,1000000.0,1000000.0,1000000.0,1000000.0
100000000.0,100000000.0,100000000.0,100000000.0,1000000.0,1000000.0,1000000.0,1000000.0
100000000.0,100000000.0,100000000.0,100000000.0,1000000.0,1000000.0,1000000.0,1000000.0
100000000.0,100000000.0,100000000.0,100000000.0,1000000.0,1000000.0,1000000.0,1000000.0
100000000.0,100000000.0,100000000.0,100000000.0,1000000.0,1000000.0,1000000.0,1000000.0
100000000.0,100000000.0,100000000.0,100000000.0,1000000.0,1000000.0,1000000.0,1000000.0
100000000.0,100000000.0,100000000.0,100000000.0,1000000.0,1000000.0,1000000.0,1000000.0
100000000.0,100000000.0,100000000.0,100000000.0,1000000.0,1000000.0,1000000.0,1000000.0
100000000.0,100000000.0,100000000.0,100000000.0,1000000.0,1000000.0,1000000.0,1000000.0
100000000.0,100000000.0,100000000.0,100000000.0,1000000.0,1000000.0,1000000.0,1000000.0
100000000.0,100000000.0,100000000.0,100000000.0,1000000.0,1000000.0,1000000.0,1000000.0
100000000.0,100051242.00730133,100000000.0,100000000.0,1000000.0,1000000.0,1000000.0,1000000.0
100000000.0,99898085.94917014,100000000.0,100000000.0,1000000.0,1000000.0,1000000.0,1000000.0
100000000.0,100082378.69502139,100000000.0,100000000.0,1000000.0,1000000.0,1000000.0,1000000.0
100000000.0,100168689.30514537,100000000.0,100000000.0,1000000.0,1000000.0,1000000.0,1000000.0
100000000.0,100297260.10505268,100000000.0,100000000.0,1000000.0,1000000.0,1000000.0,1000000.0
100000000.0,100315522.62745824,100000000.0,100000000.0,1000000.0,1000000.0,1000000.0,1000000.0
100000000.0,100140373.82201415,100000000.0,100000000.0,1000000.0,1000000.0,1000000.0,1000000.0
100000000.0,100460829.19423339,100000000.0,100000000.0,1000000.0,1000000.0,1000000.0,1000000.0
100000000.0,100119027.2842503,100000000.0,100000000.0,1000000.0,1000000.0,1000000.0,1000000.0
100000000.0,99743921.63346834,100000000.0,100000000.0,1000000.0,1000000.0,1000000.0,1000000.0
99980344.23934627,100027220.9004455,100000000.0,100000000.0,1000000.0,1000000.0,1000000.0,1000000.0
99961498.40182257,100038156.74163513,100000000.0,100000000.0,1000000.0,1000000.0,1000000.0,1000000.0
99938268.04300979,99966098.06385154,100000000.0,100000000.0,1000000.0,1000000.0,1000000.0,1000000.0
99938268.04300979,100024163.65830886,100000000.0,100000000.0,1000000.0,1000000.0,1000000.0,1000000.0
99938268.04300979,100215607.08431835,100000000.0,100000000.0,1000000.0,1000000.0,1000000.0,1000000.0
99938268.04300979,99719915.73246703,100000000.0,100000000.0,1000000.0,1000000.0,1000000.0,1000000.0
99938268.04300979,99836536.08742407,100000000.0,100000000.0,1000000.0,1000000.0,1000000.0,1000000.0
99956890.67552608,100573941.35479051,100000000.0,100000000.0,1000000.0,1000000.0,1000000.0,1000000.0
99993486.9979481,100552995.01213108,100000000.0,100000000.0,1000000.0,1000000.0,1000000.0,1000000.0
99984176.42350823,100463806.25334081,100000000.0,100000000.0,1000000.0,1000000.0,1000000.0,1000000.0
99963229.93545374,100750775.87712026,100000000.0,99980023.84271137,980023.8427113757,980023.8427113757,1000000.0,1000000.0
99970626.5370762,100807551.01221587,100000000.0,99987077.80216402,987077.8021640093,987077.8021640093,1000000.0,1000000.0
100004797.69957292,100772386.81130323,100000000.0,100019666.01050681,1019666.0105068135,1019666.0105068135,1000000.0,1000000.0
99998474.27232918,100382583.6756966,100000000.0,100013635.51141332,1013635.5114133176,1013635.5114133176,1000000.0,1000000.0
99993033.410157,100544283.64588296,100000000.0,100008446.69320884,1008446.6932088371,1008446.6932088371,1000000.0,1000000.0
100014450.29954058,100609580.57431683,100000000.0,100028871.46082842,1028871.4608284181,1028871.4608284181,1000000.0,1000000.0
